Account,As_of_date,Company,AU,Currency,Primary Account,Secondary Account,GL Balance,ihub balnce,Balance Difference,Match Status,Comments,Anomaly
1619205,31-01-2022,10001,1234,USD,All Other Loans,Defferred Costs,2000.00,5000.00,3000.00,Break,inconsistane variations,
1619205,28-02-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,10000.00,11000.00,1000.00,Match,consistannt increase or decrese,
1619205,31-03-2022,10001,1234,USD,All Other Loans,Principal,6000.00,4000.00,-2000.00,Break,normal,
1619205,30-04-2022,10001,1234,USD,All Other Loans,Principal,8000.00,9000.00,1000.00,Match,huge spike,
1619205,31-05-2022,10001,1234,USD,All Other Loans,Defferred Costs,10000.00,8500.00,-1500.00,Break,inline with previous balance,
1619205,30-06-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,11400.00,9000.00,-2400.00,Match,inconsistane variations,
1619205,31-07-2022,10001,1234,USD,All Other Loans,Principal,12800.00,9500.00,-3300.00,Break,consistannt increase or decrese,
1619205,31-08-2022,10001,1234,USD,All Other Loans,Principal,14200.00,10000.00,-4200.00,Match,normal,
1619205,30-09-2022,10001,1234,USD,All Other Loans,Defferred Costs,15600.00,10500.00,-5100.00,Break,huge spike,
1619205,31-10-2022,10001,1234,USD,All Other Loans,Defferre Org Fees,17000.00,11000.00,-6000.00,Match,inline with previous balance,
1619205,30-11-2022,10001,1234,USD,All Other Loans,Principal,18400.00,11500.00,-6900.00,Break,inconsistane variations,
1619205,31-12-2022,10001,1234,USD,All Other Loans,Principal,19800.00,12000.00,-7800.00,Match,consistannt increase or decrese,
1619205,31-01-2023,10001,1234,USD,All Other Loans,Defferred Costs,21200.00,12500.00,-8700.00,Break,normal,
1619205,28-02-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,22600.00,13000.00,-9600.00,Match,huge spike,
1619205,31-03-2023,10001,1234,USD,All Other Loans,Principal,24000.00,13500.00,-10500.00,Break,inline with previous balance,
1619205,30-04-2023,10001,1234,USD,All Other Loans,Principal,25400.00,14000.00,-11400.00,Match,inconsistane variations,
1619205,31-05-2023,10001,1234,USD,All Other Loans,Defferred Costs,26800.00,14500.00,-12300.00,Break,consistannt increase or decrese,
1619205,30-06-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,28200.00,15000.00,-13200.00,Match,normal,
1619205,31-07-2023,10001,1234,USD,All Other Loans,Principal,29600.00,15500.00,-14100.00,Break,huge spike,
1619205,31-08-2023,10001,1234,USD,All Other Loans,Principal,31000.00,16000.00,-15000.00,Match,inline with previous balance,
1619205,30-09-2023,10001,1234,USD,All Other Loans,Defferred Costs,32400.00,16500.00,-15900.00,Break,inconsistane variations,
1619205,31-10-2023,10001,1234,USD,All Other Loans,Defferre Org Fees,33800.00,17000.00,-16800.00,Match,consistannt increase or decrese,
1619205,30-11-2023,10001,1234,USD,All Other Loans,Principal,35200.00,17500.00,-17700.00,Break,normal,
1619205,31-12-2023,10001,1234,USD,All Other Loans,Principal,36600.00,18000.00,-18600.00,Match,huge spike,
